repo,test_script
passport,mocha --reporter spec --require test/bootstrap/node test/*.test.js test/**/*.test.js
plist,make test
object.defaults,mocha
d3-fetch,mocha 'test/**/*-test.js' && eslint src test
klaw-sync,npm run lint && npm run unit
stylus,mocha test/ test/middleware/ --require chai --bail --check-leaks --reporter dot
react-element-to-jsx-string,jest
proper-lockfile,jest --env node --coverage --runInBand
is-color-stop,nyc --reporter=lcov --reporter=text mocha
gonzales-pe,bash ./scripts/test.sh
stylelint-scss,npm run jest -- --coverage
inline-style-prefixer,cross-env BABEL_ENV=commonjs jest
make-iterator,mocha
liftoff,nyc mocha --async-only
react-syntax-highlighter,jest
http-assert,mocha --reporter spec --bail --check-leaks test/
uid-safe,mocha --trace-deprecation --reporter spec --bail --check-leaks test/
karma,npm run test:unit && npm run test:e2e && npm run test:client
fancy-log,nyc mocha --async-only
object.map,mocha
sanitize-html,npx eslint . && mocha test/test.js
find-file-up,mocha
object.omit,mocha
find-babel-config,jest
find-pkg,mocha
koa-convert,mocha index.spec.js --exit
karma-chrome-launcher,npm run unit-test && npm run integration-test
glob-stream,nyc mocha --async-only
expand-range,mocha
babel-plugin-module-resolver,jest
jsonpath,mocha -u tdd test && jscs lib && jshint lib
xss,export DEBUG=xss:* && mocha -t 5000
json-to-pretty-yaml,jest
mv,mocha test/test.js --reporter spec
eslint-plugin-eslint-comments,nyc npm run -s test:mocha
vinyl-fs,nyc mocha --async-only
css-box-model,yarn jest
easy-table,mocha -R dot --check-leaks
wait-port,DEBUG=wait-port nyc --report-dir 'artifacts/coverage' -x 'lib/**/*.spec.js' --reporter=html --reporter=text mocha --recursive -t 10000 'lib/**/*.spec.js'
is-dotfile,mocha
parse-glob,mocha
serve-handler,yarn run test-lint && yarn run test-integration
ansi-to-html,nyc mocha --reporter tap
unicode-properties,npm run build && mocha
tdigest,mocha specs
serve-favicon,mocha --reporter spec --bail --check-leaks test/
is-equal-shallow,mocha
git-log-parser,mocha
original,mocha test.js
node-environment-flags,mocha
css-selector-tokenizer,mocha
underscore.string,npm run test:lint && npm run test:unit && npm run coverage
tmp-promise,npm run mocha && npm run check-types
detective-es6,npm run lint && npm run mocha
module-definition,npm run lint && npm run mocha
json2mq,mocha test
create-error-class,mocha
detective-amd,npm run lint && npm run mocha
get-amd-module-type,npm run lint && npm run mocha
detective-cjs,npm run lint && npm run mocha
gray-matter,mocha
should-format,mocha --harmony_simd -R mocha-better-spec-reporter tests/test.js
should-equal,mocha --ui bdd -R mocha-better-spec-reporter test.js
now-and-later,nyc mocha --async-only
libmime,grunt
react-focus-lock,yarn test:pick -- '_tests/**/*spec.js'
clipboard,karma start --single-run
fs-mkdirp-stream,nyc mocha --async-only
to-through,nyc mocha --async-only
resolve-options,nyc mocha --async-only
vinyl-sourcemap,nyc mocha --async-only
cls-hooked,mocha test/*.js & tap test/tap/*.tap.js
ansi-gray,mocha
pm2,bash test/unit.sh && bash test/e2e.sh
mixin-object,mocha
good-listener,karma start --single-run
jest-canvas-mock,jest --no-cache
express-session,./test/support/gencert.sh && mocha --require test/support/env --check-leaks --bail --no-exit --reporter spec test/
isurl,nyc --silent mocha test.js --bail --check-leaks
postcss-modules,make test
react-clientside-effect,mocha
load-yaml-file,standard && mocha && ts-readme-generator --check
optimize-css-assets-webpack-plugin,jest
ordered-read-streams,nyc mocha --async-only
errorhandler,mocha --reporter spec --bail --check-leaks test/
react-helmet,karma start karma.config.js
to-absolute-glob,mocha
glogg,nyc mocha --async-only
section-matter,mocha
unique-stream,mocha
align-text,mocha
swagger-ui-express,mocha test/*.spec.js
gulplog,nyc mocha --async-only
css-vendor,cross-env NODE_ENV=test karma start --single-run 
blob,mocha
center-align,mocha
right-align,mocha
cwd,mocha
node-fetch-h2,cross-env BABEL_ENV=test mocha --require babel-register test/test.js
karma-coverage,mocha
wkx,jshint . && nyc mocha
sync-fetch,mocha --throw-deprecation test/spec.js
fontkit,run-s build mocha
babel-plugin-const-enum,jest
multipipe,prettier-standard '**/*.js' 'test/*.js' && standard && mocha --reporter spec --timeout 300
chai-as-promised,c8 mocha
stylelint-order,node --experimental-vm-modules node_modules/jest/bin/jest.js
gulp,nyc mocha --async-only
glob-watcher,nyc mocha test test/lib --async-only
babel-plugin-transform-flow-enums,jest
stream-to-array,mocha --reporter spec --bail
react-modal,cross-env NODE_ENV=test karma start
cz-conventional-changelog,mocha *.test.js
json-pointer,nyc make test
react-beautiful-dnd,jest --config ./jest.config.js
selenium-webdriver,bazel test //javascript/selenium-webdriver/...
babel-plugin-react-docgen,jest
has-glob,mocha
vue-style-loader,jest
promptly,jest --env node --coverage --runInBand
gulp-cli,mocha --async-only --timeout 5000 test/lib test
semver-greatest-satisfied-range,nyc mocha --async-only
merge-deep,mocha
bach,nyc mocha --async-only
async-settle,nyc mocha --async-only
each-props,nyc mocha --async-only
is2,mocha -C --reporter list tests.js
tcp-port-used,mocha --reporter=list ./test.js
undertaker,nyc mocha --async-only
levenary,jest
postcss-html,nyc npm run mocha
airbnb-prop-types,npm run build:test && npm run test:only
remove-bom-stream,nyc mocha --async-only
sqlite3,node test/support/createdb.js && mocha -R spec --timeout 480000
append-buffer,mocha
reactcss,npm run unit-test -s && npm run eslint -s
remove-bom-buffer,mocha
amqplib,make test
react-color,npm run jest && npm run eslint
pm2-axon-rpc,mocha --reporter spec
mocha-junit-reporter,MOCHA_FILE=test/mocha.xml node_modules/.bin/mocha test --reporter=spec
as-table,npm run build && env AS_TABLE_TEST_FILE='./build/as-table' nyc --reporter=html --reporter=text mocha --reporter spec
module-lookup-amd,npm run lint && npm run mocha
docker-modem,./node_modules/mocha/bin/mocha.js -R spec --exit
get-source,nyc --reporter=html --reporter=text mocha test/test.path test/test.node --reporter spec
stacktracey,nyc --reporter=html --reporter=text mocha --reporter spec
dotenv-defaults,jest
dockerode,./node_modules/mocha/bin/mocha.js -R spec --exit
mochawesome-report-generator,"cross-env NODE_ENV=test nyc mocha ""test/spec/**/*.test.js"" --exit"
create-react-context,jest
child-process-ext,mocha --recursive
commitizen,nyc --require @babel/register npm run test-actual
pm2-axon,make test
passport-jwt,mocha --reporter spec --require test/bootstrap test/*test.js
pm2-deploy,mocha
next-auth,jest --config ./config/jest.config.js
tcomb-validation,npm run lint && mocha
sass-graph,nyc mocha
dotenv-webpack,jest
start-server-and-test,npm run unit
dogapi,mocha --recursive ./test
scss-tokenizer,jest
redux-mock-store,npm run build && npm run test:unit && npm run test:cjs && npm run test:es
mochawesome,npm run lint && cross-env NODE_ENV=test nyc mocha --config test/.mocharc.json
html-loader,npm run test:coverage
thread-loader,npm run test:coverage
vizion,mocha
parse-git-config,mocha
ember-cli-version-checker,mocha tests/*-tests.js
array-sort,mocha
default-compare,mocha
whatwg-url-without-unicode,jest
pad-right,mocha
array-last,mocha
prop-types-extra,npm run lint && jest
eslint-loader,npm run test:coverage
linebreak,parcel build && mocha --reporter landing
gifwrap,mocha --timeout=6000 ./test/*.js
native-url,jest && karmatic
console.table,node test/test.js && grunt && npm run unit
coveralls,npm run lint && npm run mocha
msgpack-lite,make test
diffable-html,jest --verbose
assertion-error-formatter,yarn run lint && yarn run unit-test
better-sqlite3,mocha --exit --slow=75 --timeout=5000
jest-serializer-html,jest --verbose
sync-rpc,jest --coverage
eslint-import-resolver-webpack,npm run tests-only
arr-map,mocha
condense-newlines,mocha
vm2,mocha test
pretty,mocha
replace-in-file,mocha 'src/**/*.spec.js'
knuth-shuffle-seeded,mocha
object.reduce,mocha
arr-filter,mocha
sver-compat,mocha -u tdd -R dot
postman-collection,npm run test-lint && npm run test-system && npm run test-unit && npm run test-browser
array-initial,mocha -R spec
default-resolution,nyc mocha --async-only
collection-map,mocha
postcss-sass,jest
resolve-path,mocha --reporter spec --bail --check-leaks test/
ansi-red,mocha
broccoli-merge-trees,mocha
web-resource-inliner,mocha test
broccoli-funnel,mocha tests/
nunjucks,npm run lint && npm run test:instrument && npm run test:runner
babel-preset-env,npm run build && npm run test-only
rollup-plugin-babel,mocha
strip-hex-prefix,mocha src/tests/**/**.js
react-resizable,jest --coverage
react-virtualized,yarn run test:jest
tinygradient,mocha tests/*
babel-extract-comments,mocha
saslprep,npm run lint && npm run unit-test
rollup-plugin-postcss,npm run lint && jest
postcss-url,npm run lint && npm run tests
react-slick,jest
uglify-es,node test/run-tests.js
cytoscape-cose-bilkent,mocha
postman-url-encoder,npm run test-lint && npm run test-unit && npm run test-browser
null-loader,npm run test:coverage
prettyjson,npm run jshint && mocha --reporter spec
json2csv,node test | tap-spec
find,mocha
node-fetch-npm,mocha test/test.js
react-tabs,cross-env BABEL_OUTPUT=commonjs jest
proxyquire,standard && mocha
resq,jest ./tests --verbose --coverage
mochawesome-merge,is-ci && jest --coverage && codecov || jest --coverage
path-loader,gulp
json-refs,gulp test
openapi-sampler,npm run lint && jest
fluent-ffmpeg,NODE_ENV=test nyc mocha --require should --reporter spec
npm-run-all2,node ./bin/run-s/index.js check test-mocha
ansi-cyan,mocha
method-override,mocha --check-leaks --reporter spec --bail test/
number-to-bn,mocha ./src/tests/**/*.js -R spec --timeout 2000000
json-schema-compare,npm run eslint && nyc --reporter=html --reporter=text mocha test/specs
cache-loader,cross-env NODE_ENV=test npm run test:coverage
protoduck,tap -J --coverage test/*.js
gulp-util,jshint *.js lib/*.js test/*.js && mocha
readline2,mocha -R spec
tiny-lr,npm run eslint && npm run mocha
mssql,npm run lint && npm run test-unit
has-gulplog,nyc mocha --async-only
shx,nyc --reporter=text --reporter=lcov mocha
eslint-plugin-security,mocha test/**
jwk-to-pem,nyc --all --include src --reporter=text-summary -- mocha spec
mime-format,mocha unit-test.spec.js
ethjs-util,mocha ./src/tests/**/*.js -R spec --timeout 2000000
flux,NODE_ENV=test jest
dotgitignore,nyc mocha test.js
ethjs-unit,mocha ./src/tests/**/*.js -R spec --timeout 2000000
redux-logger,npm run lint && npm run spec
ethereumjs-abi,istanbul test _mocha -- --reporter spec
unescape,mocha
aws-lambda,mocha --timeout 100000 -S -R spec --exit
shortid,grunt test && size-limit
fileset,make test
posthtml,c8 mocha
cytoscape-fcose,mocha
uni-global,mocha
pdfmake,run-s build mocha
react-device-detect,jest
bull,NODE_ENV=test nyc mocha -- 'test/test_*' --recursive --exit
remarkable,yarn test:mocha && yarn test:spec
cypress-multi-reporters,nyc mocha --require node_modules/chai/register-expect.js --timeout 5000 tests/**/*.test.js*
universal-analytics,make test
stream-parser,mocha --reporter spec
breakword,./node_modules/mocha/bin/mocha
smartwrap,grunt t
koa-static,mocha --harmony --reporter spec --exit
ember-cli-babel,mocha node-tests && ember test
tty-table,npx mocha
set-getter,mocha
rtlcss,npm run lint && npm run main && npm run mocha
winston-daily-rotate-file,mocha --ignore **/*.worker.js && eslint .
passport-oauth2,mocha --reporter spec --require test/bootstrap/node test/*.test.js test/**/*.test.js
x-default-browser,npm run lint && npm run mocha
jest-axe,npm run lint && npm run jest
enzyme-to-json,yarn lint && yarn test-core
heimdalljs,npm run build:node && npm run build:test && mocha dist/tests/bundle.cjs
stream-promise,mocha
draft-js,cross-env NODE_ENV=test jest
browserstack,npm run lint && mocha
standard-version,nyc mocha --timeout=30000
broccoli-babel-transpiler,mocha tests/test.js
i18n-iso-countries,mocha test/*.js
csrf,mocha --trace-deprecation --reporter spec --bail --check-leaks test/
2-thenable,mocha
rollup-plugin-inject,mocha
mixpanel-browser,npm run lint && npm run unit-test
worker-loader,npm run test:coverage
jest-styled-components,yarn test:web && yarn test:native && yarn test:preact
json-schema-merge-allof,npm run eslint && nyc --reporter=html --reporter=text mocha test/specs
sha1,mocha
gh-pages,mocha --recursive test
rollup-plugin-copy,jest
pdfkit,jest -i --env=node
json-diff,coffee -c test; mocha test/*.js
istanbul-api,mocha
react-async-script,jest
react-google-recaptcha,cross-env BABEL_ENV=development jest
chrome-remote-interface,./scripts/run-tests.sh
highlight-es,eslint index.js test && mocha
react-json-view,npm run test:coverage
asn1.js-rfc5280,mocha --reporter=spec test/*-test.js
asn1.js-rfc2560,mocha --reporter=spec test/*-test.js
chartjs-color,mocha
uglifyjs-webpack-plugin,cross-env NODE_ENV=test npm run test:coverage
line-column,gulp test
codecov,jest --coverage
heimdalljs-logger,npm run build && mocha dist/tests/index.js
eslint-plugin-ft-flow,yarn jest && yarn test:rules
sequelize-cli,npm run lint && npm run build && npm run test-raw
basic-auth-connect,make test
path-match,mocha --reporter spec
eslint-plugin-json,nyc mocha test/unit.test.js
sort-object,mocha
probe-image-size,npm run lint && nyc mocha
useragent,mocha $(find test -name '*.test.js')
react-hot-loader,yarn test:es2015 && yarn test:modern
react-portal,cross-env BABEL_ENV=commonjs jest --no-cache
ssh2-sftp-client,mocha
fengari,jest
npm-registry-utilities,mocha
yauzl-promise,npm run lint && npm run test-main
babel-plugin-lodash,mocha --check-leaks --require @babel/register
postman-runtime,npm run test-lint && npm run test-system && npm run test-unit && npm run test-integration && npm run test-integration-legacy
ioredis-mock,jest
vinyl-contents,nyc mocha --async-only
ember-cli-htmlbars,yarn run test:ember && yarn run test:node
newman,npm run test-lint && npm run test-system && npm run test-unit && npm run test-integration && npm run test-cli && npm run test-library
swagger-jsdoc,run-p test:* -cn
speed-measure-webpack-plugin,jest
eslint-plugin-babel,mocha ./tests/rules/*.js
gulp-sourcemaps,mocha --async-only
replacestream,mocha --growl --full-trace
randomstring,mocha
eslint-plugin-lodash,npm run lint && npm run unit-test
async-disk-cache,mocha test.js
uvm,npm run test-lint && npm run test-system && npm run test-unit && npm run test-browser
webrtc-adapter,grunt && jest test/unit && karma start test/karma.conf.js
clap,mocha --reporter ${REPORTER:-progress}
yauzl-clone,npm run lint && npm run test-main
postman-sandbox,npm run test-lint && npm run test-system && npm run test-unit && npm run test-vm && npm run test-integration && npm run test-browser
idna-uts46-hx,mocha
postman-collection-transformer,npm run test-lint && npm run test-system && npm run test-unit && npm run test-schema && npm run test-browser
d3-geo-projection,mocha 'test/**/*-test.js' && eslint src test
yorkie,jest
babel-plugin-react-compiler,./scripts/link-react-compiler-runtime.sh && yarn snap:ci
serialised-error,jshint index.js && mocha tests
xhr-request-promise,jest
contentful-resolve-response,BABEL_ENV=cjs mocha --require babel-register 'test/**/*-test.js'
tabtab,mkdirp ~/.config/tabtab && DEBUG='tabtab*' c8 mocha --timeout 5000
jest-image-snapshot,jest --ci=false
deep-equal-in-any-order,mocha -r babel-register --recursive src/tests --timeout 5000
react-highlight-words,cross-env NODE_ENV=test karma start
localtunnel,mocha --reporter list --timeout 60000 -- *.spec.js
eslint-plugin-react-compiler,jest
swagger-client,run-s test:unit:coverage test:artifact
jest-sonar-reporter,jest
multiparty,mocha --reporter spec --bail --check-leaks test/
pre-commit,mocha test.js
karma-firefox-launcher,karma start --single-run
liftup,mocha -t 5000 -b -R spec test/index
node-jose,mocha './test/**/*-test.js'
express-http-proxy,npm -s run mocha && npm run -s lint
content-hash,mocha
tree-sync,mocha tests
parse-author,mocha
videojs-vtt.js,grunt
gulp-sort,mocha tests/*.js
amd-name-resolver,mocha -R dot test.js
gulp-header,mocha --reporter spec
merge-trees,mocha
react-immutable-proptypes,./scripts/test
react-outside-click-handler,npm run tests-only
mocha-multi-reporters,nyc mocha --require chai/register-expect --timeout 5000 tests/**/*.test.js*
react-input-mask,npm run build && npm run test:input && npm run test:server-render && npm run test:build
eslint-plugin-filenames,npm run lint && npm run unit-test --coverage && npm run check-coverage
xml-encryption,mocha
apache-crypt,mocha
global-tunnel-ng,mocha test
http-auth,mocha
globalize,grunt
karma-webpack,jest
jest-serializer-vue,npm run lint && npm run unit
gulp-concat,mocha
minim,mocha
detective-less,mocha test/test.js
eslint-plugin-svelte,"pnpm run mocha ""tests/src/**/*.ts"" --reporter dot --timeout 60000"
broccoli-caching-writer,mocha tests/
karma-junit-reporter,grunt
semver-intersect,jest
imports-loader,npm run test:coverage
serverless-offline,mocha --require ./tests/mochaHooks.cjs
dropzone,karma start test/karma.conf.js
react-moment-proptypes,mocha --recursive --require @babel/register --require ./test/suppress-fallback-warning.js --require ./test/require-enzyme-adapter.js
react-with-direction,npm run test:only
fetch-ponyfill,mocha tests/fetch-node.spec.js
postcss-sort-media-queries,jest-ci --coverage && eslint
karma-mocha,grunt test
react-with-styles,npm run tests-only
is-odd,mocha
babel-plugin-ember-modules-api-polyfill,jest
jaeger-client,make test
csurf,mocha --check-leaks --reporter spec --bail test/
browserstack-local,mocha
json-to-ast,mocha
json-schema-deref-sync,mocha
react-scroll,karma start
response-time,mocha --reporter spec
pg-hstore,mocha --reporter spec -u bdd --require should --recursive --timeout 10000
yosay,xo && FORCE_COLOR=1 mocha
polygon-clipping,node --experimental-vm-modules node_modules/jest/bin/jest.js
redis-info,mocha test/*.test.js
koa-router,mocha test/**/*.js
passport-google-oauth20,mocha --require test/bootstrap/node test/*.test.js test/**/*.test.js
taketalk,mocha
css-modules-loader-core,mocha --compilers js:babel/register
child-process-promise,npm run mocha
karma-mocha-reporter,grunt test
require-and-forget,npm run unit
fast-sourcemap-concat,mocha --inline-diffs
digest-fetch,mocha --check-leaks --bail --no-exit --reporter spec test/digest-*
geojson-equality,mocha test/test.js
bent,npm run lint && npm run test:node && npm run test:browser
relative,mocha
dot-object,gulp test
pkg-config,mocha
google-artifactregistry-auth,mocha
require_optional,mocha
react-native-animatable,npm run lint && npm run jest
core-object,mocha tests/**/*-test.js
autosuggest-highlight,"nyc mocha ""src/*.test.js"""
react-easy-swipe,mocha
extract-text-webpack-plugin,jest
commoner,rm -rf test/output ; node ./node_modules/mocha/bin/mocha --reporter spec test/run.js
rss-parser,mocha --reporter-option maxDiffSize=0 --exit
xml-but-prettier,jest test
redux-form,jest
